t,group_regret
749,171.11111111111111
750,171.11111111111111
751,171.11111111111111
752,171.11111111111111
753,171.11111111111111
754,171.11111111111111
755,171.11111111111111
756,171.11111111111111
757,171.11111111111111
758,171.11111111111111
759,171.11111111111111
760,171.11111111111111
761,171.11111111111111
762,171.11111111111111
763,171.11111111111111
764,171.11111111111111
765,171.11111111111111
766,171.11111111111111
767,171.11111111111111
768,171.11111111111111
769,171.11111111111111
770,171.11111111111111
771,171.11111111111111
772,171.11111111111111
773,171.11111111111111
774,171.11111111111111
775,171.11111111111111
776,171.11111111111111
777,171.11111111111111
778,171.11111111111111
779,171.11111111111111
780,171.11111111111111
781,171.11111111111111
782,171.11111111111111
783,171.11111111111111
784,171.11111111111111
785,171.11111111111111
786,171.11111111111111
787,171.11111111111111
788,171.11111111111111
789,171.11111111111111
790,171.11111111111111
791,171.11111111111111
792,171.11111111111111
793,171.11111111111111
794,171.11111111111111
795,171.11111111111111
796,171.11111111111111
797,171.11111111111111
798,171.11111111111111
799,171.11111111111111
800,171.11111111111111
801,171.11111111111111
802,171.11111111111111
803,171.11111111111111
804,171.11111111111111
805,171.11111111111111
806,171.11111111111111
807,171.11111111111111
808,171.11111111111111
809,171.11111111111111
810,171.11111111111111
811,171.11111111111111
812,171.11111111111111
813,171.11111111111111
814,171.11111111111111
815,171.11111111111111
816,171.11111111111111
817,171.11111111111111
818,171.11111111111111
819,171.11111111111111
820,171.11111111111111
821,171.11111111111111
822,171.11111111111111
823,171.11111111111111
824,171.11111111111111
825,171.11111111111111
826,171.11111111111111
827,171.11111111111111
828,171.11111111111111
829,171.11111111111111
830,171.11111111111111
831,171.11111111111111
832,171.11111111111111
833,171.11111111111111
834,171.11111111111111
835,171.11111111111111
836,171.11111111111111
837,171.11111111111111
838,171.11111111111111
839,171.11111111111111
840,171.11111111111111
841,171.11111111111111
842,171.11111111111111
843,171.11111111111111
844,171.11111111111111
845,171.11111111111111
846,171.11111111111111
847,171.11111111111111
848,171.11111111111111
849,171.11111111111111
850,171.11111111111111
851,171.11111111111111
852,171.11111111111111
853,171.11111111111111
854,171.11111111111111
855,171.11111111111111
856,171.11111111111111
857,171.11111111111111
858,171.11111111111111
859,171.11111111111111
860,171.11111111111111
861,171.11111111111111
862,171.11111111111111
863,171.11111111111111
864,171.11111111111111
865,171.11111111111111
866,171.11111111111111
867,171.11111111111111
868,171.11111111111111
869,171.11111111111111
870,171.11111111111111
871,171.11111111111111
872,171.11111111111111
873,171.11111111111111
874,171.22222222222223
875,171.22222222222223
876,171.22222222222223
877,171.22222222222223
878,171.22222222222223
879,171.22222222222223
880,171.22222222222223
881,171.22222222222223
882,171.22222222222223
883,171.22222222222223
884,171.22222222222223
885,171.22222222222223
886,171.22222222222223
887,171.22222222222223
888,171.22222222222223
889,171.22222222222223
890,171.22222222222223
891,171.22222222222223
892,171.22222222222223
893,171.22222222222223
894,171.22222222222223
895,171.22222222222223
896,171.22222222222223
897,171.22222222222223
898,171.22222222222223
899,171.22222222222223
900,171.22222222222223
901,171.22222222222223
902,171.22222222222223
903,171.22222222222223
904,171.22222222222223
905,171.22222222222223
906,171.22222222222223
907,171.22222222222223
908,171.22222222222223
909,171.22222222222223
910,171.22222222222223
911,171.22222222222223
912,171.22222222222223
913,171.22222222222223
914,171.88888888888889
915,171.88888888888889
916,171.88888888888889
917,171.88888888888889
918,184.55555555555554
919,184.55555555555554
920,184.55555555555554
921,184.55555555555554
922,184.55555555555554
923,184.55555555555554
924,184.55555555555554
925,184.55555555555554
926,184.55555555555554
927,184.55555555555554
928,184.55555555555554
929,184.55555555555554
930,184.55555555555554
931,184.55555555555554
932,184.55555555555554
933,184.55555555555554
934,184.55555555555554
935,184.55555555555554
936,184.55555555555554
937,184.55555555555554
938,184.55555555555554
939,184.55555555555554
940,184.55555555555554
941,184.55555555555554
942,184.55555555555554
943,184.55555555555554
944,184.55555555555554
945,184.55555555555554
946,184.55555555555554
947,184.55555555555554
948,184.55555555555554
949,184.55555555555554
950,184.55555555555554
951,184.55555555555554
952,184.55555555555554
953,184.55555555555554
954,184.55555555555554
955,184.55555555555554
956,184.55555555555554
957,184.55555555555554
958,184.55555555555554
959,184.55555555555554
960,184.55555555555554
961,184.55555555555554
962,184.55555555555554
963,184.55555555555554
964,184.55555555555554
965,184.55555555555554
966,184.55555555555554
967,184.55555555555554
968,184.55555555555554
969,184.55555555555554
970,184.55555555555554
971,184.55555555555554
972,184.55555555555554
973,184.55555555555554
974,184.55555555555554
975,184.55555555555554
976,184.55555555555554
977,184.55555555555554
978,184.66666666666666
979,184.66666666666666
980,184.66666666666666
981,184.66666666666666
982,186.77777777777774
983,186.77777777777774
984,186.77777777777774
985,186.77777777777774
986,186.88888888888883
987,186.88888888888883
988,186.88888888888883
989,186.88888888888883
990,188.99999999999994
991,188.99999999999994
992,188.99999999999994
993,188.99999999999994
994,189.11111111111106
995,189.11111111111106
996,189.11111111111106
997,189.11111111111106
998,189.11111111111106
999,189.11111111111106
1000,189.11111111111106
1001,189.11111111111106
1002,189.11111111111106
1003,189.11111111111106
1004,189.11111111111106
1005,189.11111111111106
1006,189.11111111111106
1007,189.11111111111106
1008,189.11111111111106
1009,189.11111111111106
1010,189.11111111111106
1011,189.11111111111106
1012,189.11111111111106
1013,189.11111111111106
1014,189.11111111111106
1015,189.11111111111106
1016,189.3333333333333
1017,189.3333333333333
1018,189.3333333333333
1019,189.3333333333333
1020,189.3333333333333
1021,189.3333333333333
1022,189.3333333333333
1023,189.3333333333333
1024,189.3333333333333
1025,189.3333333333333
1026,189.3333333333333
1027,189.3333333333333
1028,189.3333333333333
1029,189.3333333333333
1030,189.3333333333333
1031,189.3333333333333
1032,189.44444444444437
1033,189.44444444444437
1034,189.44444444444437
1035,189.44444444444437
1036,189.44444444444437
1037,189.44444444444437
1038,189.44444444444437
1039,189.44444444444437
1040,189.44444444444437
1041,189.44444444444437
1042,189.44444444444437
1043,189.44444444444437
1044,189.44444444444437
1045,189.44444444444437
1046,189.44444444444437
1047,189.44444444444437
1048,189.44444444444437
1049,189.44444444444437
1050,189.44444444444437
1051,189.44444444444437
1052,189.44444444444437
1053,189.44444444444437
1054,189.44444444444437
1055,189.44444444444437
1056,189.44444444444437
1057,189.44444444444437
1058,189.44444444444437
1059,189.44444444444437
1060,189.44444444444437
1061,189.44444444444437
1062,189.44444444444437
1063,189.44444444444437
1064,189.77777777777771
1065,189.77777777777771
1066,189.77777777777771
1067,189.77777777777771
1068,189.77777777777771
1069,189.77777777777771
1070,189.77777777777771
1071,189.77777777777771
1072,189.77777777777771
1073,189.77777777777771
1074,189.77777777777771
1075,189.77777777777771
1076,189.77777777777771
1077,189.77777777777771
1078,189.77777777777771
1079,189.77777777777771
1080,189.77777777777771
1081,189.77777777777771
1082,189.77777777777771
1083,189.77777777777771
1084,189.77777777777771
1085,189.77777777777771
1086,189.77777777777771
1087,189.77777777777771
1088,189.77777777777771
1089,189.77777777777771
1090,189.77777777777771
1091,189.77777777777771
1092,189.77777777777771
1093,189.77777777777771
1094,189.77777777777771
1095,189.77777777777771
1096,189.88888888888883
1097,189.88888888888883
1098,189.88888888888883
1099,189.88888888888883
1100,191.88888888888889
1101,191.88888888888889
1102,191.88888888888889
1103,191.88888888888889
1104,191.99999999999997
1105,191.99999999999997
1106,191.99999999999997
1107,191.99999999999997
1108,193.99999999999994
1109,193.99999999999994
1110,193.99999999999994
1111,193.99999999999994
1112,194.1111111111111
1113,194.1111111111111
1114,194.1111111111111
1115,194.1111111111111
1116,194.1111111111111
1117,194.1111111111111
1118,194.1111111111111
1119,194.1111111111111
1120,194.33333333333331
1121,194.33333333333331
1122,194.33333333333331
1123,194.33333333333331
1124,198.33333333333326
1125,198.33333333333326
1126,198.33333333333326
1127,198.33333333333326
1128,198.5555555555555
1129,198.5555555555555
1130,198.5555555555555
1131,198.5555555555555
1132,202.5555555555555
1133,202.5555555555555
1134,202.5555555555555
1135,202.5555555555555
1136,202.77777777777766
1137,202.77777777777766
1138,202.77777777777766
1139,202.77777777777766
1140,206.77777777777766
1141,206.77777777777766
1142,206.77777777777766
1143,206.77777777777766
1144,206.9999999999999
1145,206.9999999999999
1146,206.9999999999999
1147,206.9999999999999
1148,210.99999999999994
1149,210.99999999999994
1150,210.99999999999994
1151,210.99999999999994
1152,211.22222222222217
1153,211.22222222222217
1154,211.22222222222217
1155,211.22222222222217
1156,215.2222222222221
1157,215.2222222222221
1158,215.2222222222221
1159,215.2222222222221
1160,215.2222222222221
1161,215.2222222222221
1162,215.2222222222221
1163,215.2222222222221
1164,215.2222222222221
1165,215.2222222222221
1166,215.2222222222221
1167,215.2222222222221
1168,215.2222222222221
1169,215.2222222222221
1170,215.2222222222221
1171,215.2222222222221
1172,215.2222222222221
1173,215.2222222222221
1174,215.2222222222221
1175,215.2222222222221
1176,215.2222222222221
1177,215.2222222222221
1178,215.2222222222221
1179,215.2222222222221
1180,215.2222222222221
1181,215.2222222222221
1182,215.2222222222221
1183,215.2222222222221
1184,215.2222222222221
1185,215.2222222222221
1186,215.2222222222221
1187,215.2222222222221
1188,215.2222222222221
1189,215.2222222222221
1190,215.2222222222221
1191,215.2222222222221
1192,215.2222222222221
1193,215.2222222222221
1194,215.2222222222221
1195,215.2222222222221
1196,215.2222222222221
1197,215.2222222222221
1198,215.2222222222221
1199,215.2222222222221
1200,215.2222222222221
1201,215.2222222222221
1202,215.2222222222221
1203,215.2222222222221
1204,215.2222222222221
1205,215.2222222222221
1206,215.2222222222221
1207,215.2222222222221
1208,215.2222222222221
1209,215.2222222222221
1210,215.2222222222221
1211,215.2222222222221
1212,215.2222222222221
1213,215.2222222222221
1214,215.2222222222221
1215,215.2222222222221
1216,215.2222222222221
1217,215.2222222222221
1218,215.2222222222221
1219,215.2222222222221
1220,225.2222222222221
1221,225.2222222222221
1222,225.2222222222221
1223,225.2222222222221
1224,225.2222222222221
1225,225.2222222222221
1226,225.2222222222221
1227,225.2222222222221
1228,225.2222222222221
1229,225.2222222222221
1230,225.2222222222221
1231,225.2222222222221
1232,225.2222222222221
1233,225.2222222222221
1234,225.2222222222221
1235,225.2222222222221
1236,225.2222222222221
1237,225.2222222222221
1238,225.2222222222221
1239,225.2222222222221
1240,225.2222222222221
1241,225.2222222222221
1242,225.2222222222221
1243,225.2222222222221
1244,225.2222222222221
1245,225.2222222222221
1246,225.2222222222221
1247,225.2222222222221
1248,225.55555555555543
1249,225.55555555555543
1250,225.55555555555543
1251,225.55555555555543
1252,241.55555555555543
1253,241.55555555555543
1254,241.55555555555543
1255,241.55555555555543
1256,241.88888888888874
1257,241.88888888888874
1258,241.88888888888874
1259,241.88888888888874
1260,241.88888888888874
1261,241.88888888888874
1262,241.88888888888874
1263,241.88888888888874
1264,241.88888888888874
1265,241.88888888888874
1266,241.88888888888874
1267,241.88888888888874
1268,241.88888888888874
1269,241.88888888888874
1270,241.88888888888874
1271,241.88888888888874
1272,242.11111111111097
1273,242.11111111111097
1274,242.11111111111097
1275,242.11111111111097
1276,246.11111111111103
1277,246.11111111111103
1278,246.11111111111103
1279,246.11111111111103
1280,246.11111111111103
1281,246.11111111111103
1282,246.11111111111103
1283,246.11111111111103
1284,246.11111111111103
1285,246.11111111111103
1286,246.11111111111103
1287,246.11111111111103
1288,246.11111111111103
1289,246.11111111111103
1290,246.11111111111103
1291,246.11111111111103
1292,246.11111111111103
1293,246.11111111111103
1294,246.11111111111103
1295,246.11111111111103
1296,246.11111111111103
1297,246.11111111111103
1298,246.11111111111103
1299,246.11111111111103
1300,246.11111111111103
1301,246.11111111111103
1302,246.11111111111103
1303,246.11111111111103
1304,246.11111111111103
1305,246.11111111111103
1306,246.11111111111103
1307,246.11111111111103
1308,246.11111111111103
1309,246.11111111111103
1310,246.11111111111103
1311,246.11111111111103
1312,246.22222222222214
1313,246.22222222222214
1314,246.22222222222214
1315,246.22222222222214
1316,246.22222222222214
1317,246.22222222222214
1318,246.22222222222214
1319,246.22222222222214
1320,246.22222222222214
1321,246.22222222222214
1322,246.22222222222214
1323,246.22222222222214
1324,246.22222222222214
1325,246.22222222222214
1326,246.22222222222214
1327,246.22222222222214
1328,246.22222222222214
1329,246.22222222222214
1330,246.22222222222214
1331,246.22222222222214
1332,246.22222222222214
1333,246.22222222222214
1334,246.22222222222214
1335,246.22222222222214
1336,246.22222222222214
1337,246.22222222222214
1338,246.22222222222214
1339,246.22222222222214
1340,246.22222222222214
1341,246.22222222222214
1342,246.22222222222214
1343,246.22222222222214
1344,246.22222222222214
1345,246.22222222222214
1346,246.22222222222214
1347,246.22222222222214
1348,246.22222222222214
1349,246.22222222222214
1350,246.22222222222214
1351,246.22222222222214
1352,246.66666666666657
1353,246.66666666666657
1354,246.66666666666657
1355,246.66666666666657
1356,246.66666666666657
1357,246.66666666666657
1358,246.66666666666657
1359,246.66666666666657
1360,246.66666666666657
1361,246.66666666666657
1362,246.66666666666657
1363,246.66666666666657
1364,246.66666666666657
